smiles,pKa
ClC1(=C(C([N+](=O)[O-])=CC=C1)C(=O)O),1.41
O=C(O)C(=O)C1(=C(C=CC(=C1)C)C),1.45
O=C(C2(=NC1(=C(O)[NH+]=C(N)N=C1NC2)))C(O)C,1.45
N#CC=1(N=NNC=1C#N),1.47
ClC(=NO)C(=O)O,1.5
O=C1(C=C(OC=C1)C(=O)O),1.5
O=C1(C=C(OC(=C1)C(=O)O)C2(=CC=CC=C2)),1.51
S1(C[NH+](C)C(C1)C(=O)O),1.51
O=C(O)C(=O)C1(=CC=C(C)C=C1),1.52
S1(C(=NC=C1)N=NC2(=C(O)C=C(O)C=C2)),1.56
ClC2(=NN(C1(=NC([N+](=O)[O-])=NN1))C=N2),1.59
O=[N+]([O-])C2(=C1(N=NN(C1=CC(=C2)[N+](=O)[O-])O)),1.6
O(C1(=[NH+]C(O)=CC(=N1)C))C,1.6
[Br]C2(=NN(C1(=NC([N+](=O)[O-])=NN1))C=N2),1.63
P(=O)(O)C1(=CC=CC=C1),1.63
O=C(O)C#CC#CC#CCC,1.67
O=C(O)C([NH3+])CC1(=C[NH+]=CC=C1),1.69
OC1(=[NH+]C(=CN=C1CC(C)C)CC(C)C),1.7
O=[N+]([O-])NC=1(N=NN(N=1)C),1.7
O=C(O)C1(=CC=[NH+]C=C1),1.71
S(=O)(O)C1(=CC=CC=C1),1.72
O=C(O)C1(=CC=[N+](C)C=C1),1.72
O(C1(=C(O)[NH+]=CN=C1))C,1.75
S1(=O)(=O)(NC(=O)C2(=C1C=CC=C2)),1.76
O=C(O)C2(=[NH+]C=1(C(=CC=CC=1)C=C2)),1.79
O=C(O)C#CC[NH+]1(CCOCC1),1.79
S(=O)(O)C1(=CC=C(C)C=C1),1.82
O=C(O)C([NH3+])CC=1(N(C=[NH+]C=1)C),1.84
OC1(=[NH+]C=NC2(=C1N=CN2C)),1.86
S(=O)(O)CC1(=CC=CC=C1),1.86
O=C(O)C#C,1.89
S(=O)(O)CCC1(=CC=CC=C1),1.89
O3(C(N2(C1(=NC(=[NH+]C(=C1N=C2)O)N)))C(O)C(C3CO)O),1.9
O=C(O)C=2(C1(=[NH+]C=CC=C1C=CC=2)),1.9
[Br]C#CC(=O)O,1.9
OC(C#N)=C(C#N)C#N,1.9
N#CC(C#N)=C(C#N)C(C#N)C#N,1.9
O=C(O)C#CC#CCC,1.91
O=C(O)C1([NH2+]CC(C1)O),1.92
N1(=NNC(=N1)C([NH3+])CC2(=CC=CC=C2)),1.93
S1(C(OC(C1C)=O)(C(=O)O)C),1.94
O=C(O)C1([NH2+]CC(C1CC(=O)OC)C(=C)C),1.95
O=C(O)C(=O)C=CC1(=CC=C(C)C=C1),1.96
O=C(O)C(=O)C=CC1(=CC=CC=C1),1.97
O=C(O)C[NH+](CC)CC,1.98
O=C([N+]1(=CC=C(C#N)C=C1))C,1.98
O=C(O)C[NH+](C)C,1.99
O=C(O)C1([NH+]2(C(C(C)CC1)CCC(C2)C)),2
S=C(S)NCC[NH3+],2
O=[N+]([O-])C1(=NNC(=N1)N2(N=CN=C2)),2
OC1(=[N+](C=NC2(=C1NC=N2))C),2
O=C(O)C1([NH2+]CC(C1CC(=O)N)C(=C)C),2.01
O=C1(C(O)=C1C2(=CC=CC=C2)),2.01
O=[N+]([O-])NC1(=NN=NN1CC),2.02
ClC1(=C([N+](=O)[O-])C=CC=C1C(=O)O),2.02
O(C1(=CC=[N+](O)C=C1))C,2.05
S(=O)(O)CCCC1(=CC=CC=C1),2.05
SC=2(C1(=[NH+]C=CC=C1C=CC=2)),2.05
O=[N+]([O-])C=1(OC(C(=O)O)=CC=1),2.06
FC2(=CC=C(C1(=C(O)C1=O))C=C2),2.07
ClC1(=NN=NN1),2.07
O=C(N)C1(=CC(=[N+](O)C(=C1)C)C),2.08
N#CC(NC(C#N)=C(C#N)C#N)=C(C#N)C#N,2.1
OC1(=[N+](N)C=CC=C1),2.1
O=C(O)CN1(N=NN=C1C2(=CC=CC=C2)),2.11
O=C(O)CN1(N=NC=N1),2.12
OC1(=[NH+]C=NC=2(C1=CC=CC=2)),2.12
O=[N+]([O-])C1(=C(C(=CC=C1)C)C(=O)O),2.13
[Br]C1(=NN=NN1),2.13
O=C(O)CN1(N=NN=C1C),2.16
ClC1(=CC([N+](=O)[O-])=CC(=C1)C(=O)O),2.17
O=C(O)C([NH3+])CC1(=NNC2(=C1C=CC=C2)),2.2
S(=O)(O)CCCC,2.2
O=C(O)C([NH3+])CN1(N=CC=C1),2.2
O=C1(C(O)=C1C2(=CC=C(C(C)(C)C)C=C2)),2.21
SC1(=[NH+]C=NC(=C1N)N),2.21
O=C(O)C([NH2+]CCC)C,2.21
O=C(O)C([NH2+]C)C,2.22
O=C(O)C([NH2+]CC)C,2.22
[Br]C1(C(=O)OCC1=O),2.23
O=C(O)CN1(N=NC(=N1)C),2.23
S1(=O)(=O)(CN(C(=O)C)C(C1)C(=O)O),2.23
O=C(O)C(C#N)CC1(=CC=CC=C1),2.24
O=C(O)C[NH2+]C,2.24
OC1(=[NH+]C=CC=N1),2.24
N#CC(C#N)=C(C(C#N)C#N)C(C#N)C#N,2.25
O=C(O)C(NC(=O)C([NH3+])CC=1([NH+]=CNC=1))CC=2([NH+]=CNC=2),2.25
O=[N+]([O-])C1(=C(NN=C1C)C(=O)O),2.26
O=C1(OC(C2(C[NH2+]C(C2(C1))C(=O)O))(C)C),2.27
S(=O)(O)CC,2.27
O=C(O)CN1(N=NN=C1),2.27
O[N+]1(=C(N(C)C)C=CC=C1),2.27
OC=1(C=2(C([NH+]=CC=1)=CC=CC=2)),2.27
O=C(O)C(C#N)(CC1(=CC=CC=C1))C,2.29
O=C(O)CN(CC(=O)O)CC(=O)N,2.29
O=C(O)C1(=C[N+](=CC=C1)C),2.29
N#CC(C#N)=C(C1(=CC=CC=C1))C(C#N)C#N,2.3
O=C(O)C(=O)C(C)(C)C,2.3
[Br]C1(=C(ON=C1C2(=CC=CC=C2))O),2.3
IC1(C(=O)OCC1=O),2.31
O=C(O)C[NH2+]CC,2.31
O=C(O)C[NH2+]CCC,2.31
O=C(O)C[NH2+]CCCC,2.32
O=C1(C(=C(O)C(C1CC=C(C)C)O)C(=O)CC(C)C),2.35
S(=O)(O)CCC,2.35
O=C(O)C[NH2+]C(C)C,2.35
O=[N+]([O-])C1(=CC=C(C(C#N)C#N)C=C1),2.35
S(=O)(O)C,2.35
O=C(O)C(C#N)C,2.37
O=C(O)C=1(OC=2(C=CC(=CC=2(C=1))CN3(C=[NH+]C=C3))),2.38
O=C(O)CN1(N=NN=C1N),2.38
O=[N+]([O-])C2(=C(C(C(=O)C1(=CC=CC=C1))=CC=C2)C(=O)O),2.39
O=C(O)C([NH3+])(C)C,2.39
O=C(O)C1([NH2+]CC(C1CC(=O)OC)C(O)C),2.4
SC=1(C=[N+](C2(=CC=CC=C2(C=1)))C),2.4
O[N+]1(=CC=C(O)C=C1),2.4
O=C(O)C1([NH+]=C(N)NC1C(O)C[NH3+]),2.4
O=C(O)C([NH3+])CC1(C(=C)C1),2.4
O2(C1(=[NH+]C(O)=CC(=C1CC2)C)),2.42
SC(=O)C1(=CC=CC=C1),2.44
O=C1(OC2(C(C)C)(C[NH2+]C(C2(C1))C(=O)O)),2.45
O=C(O)CC#N,2.46
O=C1(N(C(=O)CC1[NH3+])CCCCC([NH3+])C(=O)O),2.5
[N+]1(=NN(C)C(=N1)N)(C),2.5
O=C(O)C1([NH2+]CCCC1),2.5
S1(=O)(CN(C(=O)C)C(C1)C(=O)O),2.5
O=[N+]([O-])C2(=C(O)C=1(NN=CC=1C(=C2)[N+](=O)[O-])),2.5
ClC(C(=O)O)C=C,2.54
O=C(O)C#CCC(C)(C)C,2.54
OC1(=C(C=C(C(O)=C(C#N)C#N)C=C1C)C),2.55
O=[N+]([O-])C1(=C(C(=O)O)C=C(C)C=C1),2.55
FCC(=O)O,2.56
O([N+]1(=CC=C(O)C=C1))C,2.57
N#CC(C#N)=C(N)C(C#N)C#N,2.58
ClC1(=C(C(=CC=C1)C)C(=O)O),2.59
SC(=O)C1(=CC=C(C)C=C1),2.59
O=C(O)C#CCC,2.6
[Br]C(=C(C#N)C#N)C(C#N)C#N,2.6
O[N+]1(=C(NC)C=CC=C1),2.61
O=C(O)C(NC(=O)C[NH3+])CC=1([NH+]=CNC=1),2.61
S1(C(C(C(=O)O)N3(C1C(NC(=O)CC2(=CC=C(O)C=C2))C3=O))(C)C),2.62
N1(=NNC(=N1)C[NH3+]),2.62
O=C(O)C12(OC1CC[NH2+]C2),2.63
O=C(O)C(NC(=O)CC[NH3+])CC=1(N(C=[NH+]C=1)C),2.64
OC1(=[NH+]C=CC=2(C1=NC=CC=2)),2.64
O=C(O)C#CC(C)(C)C,2.66
O=C(O)C1([NH3+])(CCCCC1),2.66
O[N+]1(=C(N)C=CC=C1),2.67
S1(C([N+](=O)[O-])=CC=C1C(=O)O),2.68
S1(C(=C([N+](=O)[O-])C=C1)C(=O)O),2.68
O=[N+]([O-])C1(=C(C(=O)O)C=CC(=C1)C),2.68
O=C(O)CONC(=[NH2+])N,2.69
ClC1(=COC(=C1)C(=O)O),2.69
O=C2(OCC13(C5(C(C(=O)CC1C(OC3(C2))(C)C)(C4(OC4C(=O)O)(CC(C5)(CC6(COCC6))C))C))),2.7
O=C(O)C1(=NC=CN=C1),2.7
IC1(=C(C(=CC=C1)C)C(=O)O),2.7
N1(=NNC(=N1)C3(=C(C2(=NN=NN2))C=CC=C3)),2.71
S1(=O)(=O)(CC(=O)CC(C1)=O),2.72
P1(=O)(O)(CCCCC1),2.73
FC1(=C(C(=O)O)C=C([N+](=O)[O-])C=C1),2.73
S3(C2(=C(C=C(CN1(C=[NH+]C=C1))C=C2)C=C3C(=O)O)),2.74
ClC1(=C(C(=O)O)C=CC(=C1)Cl),2.74
S(=O)(O)CC(C)C,2.75
O=C(O)C(NC(=O)C([NH3+])CC(C)C)CC=1([NH+]=CNC=1),2.76
S1(C(C(C(=O)O)N3(C1C(NC(=O)CC2(=CC=CC=C2))C3=O))(C)C),2.76
OC2(=[NH+]C=1(C(=CC=CC=1)C(=C2)C(O)C3([NH+]4(CC(O)(C=C)C(C3)CC4)))),2.76
S(=O)(=O)(N(CC)CC)C1(=C(SC=C1)C(=O)O),2.77
O=C(O)C(=O)C(C1(=CC=CC=C1))C2(=CC=CC=C2),2.78
O=C(O)C(O)C[NH3+],2.78
O=C(O)CC(C1(=[NH+]C=CN1))C2(=[NH+]C=CN2),2.79
S1(C(C(C(=O)O)N3(C1C(NC(=O)COC2(=CC=C(C)C=C2))C3=O))(C)C),2.8
O=C(O)C1(=CN=NC=C1),2.8
O=[N+]([O-])C=1(C=2(C(C(O)=C(C=1)C[NH+](CC)CC)=CC=CC=2)),2.82
S=C(S)NCCO,2.82
[Br]C(C(=O)O)C(C)C,2.82
S1(C(C(=O)O)=CC(=C1)[N+](=O)[O-]),2.83
S(C1(=C(C(=O)O)C=C([N+](=O)[O-])C=C1))C2(=CC=C(C)C=C2),2.84
S1(C(C(C(=O)O)N2(C1C(NC(=O)CC=CCC)C2=O))(C)C),2.84
S(=O)(=O)(NC1(=CC=C(S(=O)(=O)C)C=C1))C(F)(F)F,2.84
O=C(O)C=1(OC=2(C=CC=CC=2(C=1))),2.84
O=C(OC1(OC(C(=O)O)C(O)C(C1O)O))C2(=CC=CC=C2),2.85
S=C(S)NCCOC,2.85
O=C(O)C1(=NC=CC=N1),2.85
O=C(O)CC1(=NN=NN1CC),2.85
OC=2(C1(=NC=CC=C1[NH+]=CC=2)),2.85
IC1(=NN=NN1),2.85
O=[N+]([O-])C2(=CC(=C(C(=O)C1(=CC=CC=C1))C=C2)C(=O)O),2.86
O=C(O)C1(=CC=[N+]([O-])C=C1),2.86
O=[N+]([O-])C1(=C(C(C(=O)O)=CC=C1)C(=O)C2(=CC=CC=C2)),2.87
S=C(OCC(=O)O)N(C)C,2.87
ClC(C(=O)O)C,2.88
[Br]C1(=C(O)C([N+](=O)[O-])=CC2(=C1CC2=O)),2.88
O=[N+]([O-])C1(=CC=C(OCC(=O)O)C=C1),2.89
[Br]C1(=C(C(=O)O)C=CC=C1C),2.9
O=[N+]([O-])C1(=C(OCC(=O)O)C=CC=C1),2.9
O=C(O)CC1([NH2+]NC2(=C1C=CC=C2)),2.9
O=C(O)C1(N(C(=O)CNC(=O)CNC(=O)C[NH3+])CCC1),2.91
O2(C=1(C(OC)=CC3(=C(O)C=C([NH+]=C3(C=1C(=C2C)C))C))),2.91
O=[N+]([O-])C1(=C(C(=O)O)C=CC=C1C),2.91
O=C(O)C2(O)(C1(=C(C=CC=C1)C3(=C2C=CC=C3))),2.92
IC1(=C(C(=O)O)C=CC=C1C),2.92
[Br]C1(=C(C(=O)O)C=CC=C1),2.93
IC=1(OC(C(=O)O)=CC=1),2.94
S1(CN(C(=O)C)C(C1)C(=O)O),2.94
O=C(O)C(NC(=O)C)CC=1([NH+]=CNC=1),2.94
O=C(O)C1([N+]([O-])=CCC1)(C),2.95
O=C(O)C1(N(C(=O)C[NH3+])CCC1),2.95
S=C(S)NC1(CCCCC1),2.95
ClC1(=C(C(=O)O)C=CC=C1),2.95
IC1(=C(C(=O)O)C=C(C)C=C1),2.95
S(=O)(=O)(N(CC)CC)C1(=C(C(=O)O)C=CC=C1),2.96
SC1(=[NH+]C=C(N)C(=N1)N),2.96
O=C(O)C2(OC(OC1(=CC([NH3+])=CC=C1))C(O)C(C2O)O),2.97
[Br]C(C(=O)O)C,2.97
S=C(S)N1(CCCC1),2.97
S=C(SC)N(CC(=O)O)C,2.98
O=[N+]([O-])C2(=C(C1(=NN=NN1))C=CC=C2),2.98
O=[N+]([O-])C1(=C(C(C(=O)O)=CC=C1)C),2.98
S1(C(C(=O)O)=CN=C1),2.99
O=C(O)C(O)CC=1([NH+]=CNC=1),2.99
OC3(=CC2(=[N+](C=1(C(=CC=CC=1)N=C2C=C3))C)),3
O=C(O)C=1(C=3(C([NH+]=C2(C=1C=CC=C2))=CC=CC=3)),3
O=C(O)C3(OC(OC2(=CC=1(C(=[NH+]C=CC=1)C=C2)))C(O)C(C3O)O),3
O=C(O)C3(OC(OC=1(C=[NH+]C2(=CC=CC=C2(C=1))))C(O)C(C3O)O),3
O=[N+]([O-])C=1(C=3(C(C(O)=C(C=1)C[NH+]2(CCOCC2))=CC=CC=3)),3
ClC=1(SC(C(=O)O)=CN=1),3
O=C1(C(=O)CC(C1)=O),3
O=C1(NC(C(=O)O)C(C1)C(=O)N),3
S1(C(C(=O)O)=CC=C1C(=O)C),3
ClC1(=C(C(=O)O)C=CC=C1C),3
O=C(O)C3(OC(OC=2(C1(=[NH+]C=CC=C1C=CC=2)))C(O)C(C3O)O),3.01
O=C(OCC(=O)O)N(C)C,3.01
S1(C(=NC=C1C)C(=O)O),3.03
O=[N+]([O-])C1(=CC(=CC=C1)C(O)C(=O)O),3.03
O=C(O)C(C#N)=C(C)C,3.04
O=[N+]([O-])C1(=CC=C(CCC([NH3+])C(=O)O)C=C1),3.05
O=C(O)C(O)(C1(=CC=CC=C1))C2(=CC=CC=C2),3.05
O=C(O)C([NH3+])CCC(C)C,3.06
O=C(O)C=C(C#N)C1(=CC=CC=C1),3.07
P1(=O)(O)(CCC1),3.07
OC1(=[NH+]C(=NC2(=C1N=CN2C))N),3.07
P(=O)(O)(C)C,3.08
O=[N+]([O-])C2(=CC=C(C1(=NN=NN1))C=C2),3.08
O=C(O)CC(=O)C,3.09
O=C(O)C1(=CC([NH3+])=CC=C1),3.09
[Br]C1(=C(C(=O)O)C=CC(=C1)C),3.09
O=C(O)C#COC1(=CC=CC=C1),3.09
O=C(O)C2(OC(OC1(=CC=C([NH3+])C=C1))C(O)C(C2O)O),3.1
S1(C(C(C(=O)O)N2(C1C([NH+]=C2CCCC([NH3+])C(=O)[O-])C(=O)[O-]))(C)C),3.1
O=C(O)C3(OC(OC=2(C=1(C(=[NH+]C=CC=1)C=CC=2)))C(O)C(C3O)O),3.1
S=C(S)NC(C)C,3.1
SC1(=[NH+]C=CC(=N1)NCC),3.1
ClC1(=C([N+](=O)[O-])C=C2(N(O)N=NC2(=C1C))),3.1
[Br]C1(C(=O)CC(C)(C)CC1=O),3.1
S2(C1(=C(C=CC=C1)C=C2C(=O)O)),3.1
O=C(O)CC1(=NN=NN1C2(=CC=CC=C2)),3.1
O=[N+]([O-])C1(=CC=C(C(=O)N[N+](C)(C)C)C=C1),3.11
O=C(O)C=1(C=2(C(C=CC=1C)=CC=CC=2)),3.11
[Br]C1(=CSC(=C1)C(=O)O),3.11
S1(=O)(CC(=O)CC(C1)=O),3.12
ClC1(=C(C(=O)O)C=C(C)C=C1),3.12
O=C(O)C1(=C(OC)C(=CC2(=C1COC2))C),3.13
S(=O)(=O)(NC1(=CC=C(CC([NH3+])C(=O)O)C=C1))C,3.15
OC1(=[NH+]C(=NC2(=C1N=CN2C3(C=CC(C3)CO)))N),3.15
O=C(O)C1(OCCOC1),3.15
O=C(O)COC1(=CC=CC=C1),3.15
O=C(O)COC1(=CC=C(C)C=C1),3.15
O=[N+]([O-])C1(=CC(C(=O)N[N+](C)(C)C)=CC=C1),3.16
ICC(=O)O,3.16
O=C(O)CN(C(=O)C)C,3.16
ClC2(=C1(N=NN(C1=C(C)C(=C2)[N+](=O)[O-])O)),3.17
O=C(O)COC1(=C(C=CC=C1)C),3.17
O=C(O)C=1(OC=CC=1),3.18
S(C1(=C([N+](=O)[O-])C=CC=C1))CC(=O)O,3.18
O=C1(C(O)=CC(=O)C2(=C1C=CC=C2)),3.19
S=C(SC)NCC(=O)O,3.19
O=C1(OC2(C(C)C)(CN(C(=O)C)C(C2(C1))C(=O)O)),3.2
SC1(=[NH+]C=CC(=N1)NCCCC),3.2
O=C1(C=CC(C(=O)O)=CC=C1),3.2
IC1(=C(C(=O)O)C=CC(=C1)C),3.2
O1(N=C(C)C(=C1O)C=2(ON=C(C=2)C)),3.2
O=C(O)C1(=C([NH3+])C=CC=C1C),3.2
IC(C(=O)O)C,3.21
ClC1(=C(C([N+](=O)[O-])=C2(N(O)N=NC2(=C1)))C),3.21
SC=2(C=1(C(=[N+](C=CC=1)C)C=CC=2)),3.22
O=C(O)C2(OC(OC1(=CC=C(C#N)C=C1))C(O)C(C2O)O),3.22
O=[N+]([O-])C1(=NN(C)C(=N1)NN=O),3.22
P(=O)(O)(CC)CC,3.22
ClC(C(=O)O)=CC,3.22
P(=O)(O)(CCCCC)CCCCC,3.23
O=C(O)C(=CC(=O)NC)C,3.23
O=C(O)CC#CC#CC,3.23
FC12(CC3(F)(CC(C1)(F)CC(C2)(C(=O)O)C3)),3.24
P(=O)(O)(CCCCCC)CCCCCC,3.24
S1(C([N+](=O)[O-])=CC(=C1)C(=O)O),3.24
O=C(O)C([NH3+])CC(CC)C,3.25
O=[N+]([O-])C2(=CC(C1(=NN=NN1))=CC=C2),3.25
P(=O)(O)(CC(C)C)CC(C)C,3.25
P(=O)(O)(CCC(C)C)CCC(C)C,3.26
S1(C(C(=O)O)=CN=C1C),3.26
O=C1(OC=C(C(=O)O)C=C1),3.26
O=[N+]([O-])C1(=C(C(C(=O)O)=CC=C1)C(=O)C),3.26
ClC1(=C(C(=O)O)C=CC(=C1)C),3.27
O=[N+]([O-])C1(=CC(=C(C(=O)C)C=C1)C(=O)O),3.27
[Br]C=1(SC=C(N=1)C(=O)O),3.28
O=C(O)[C+]1(C=CC=CC=C1),3.29
O=C(O)C2(OC(OC1(=C([NH3+])C=CC=C1))C(O)C(C2O)O),3.3
O2(N=C3(CC[NH+](CC1(=CC=CC=C1))CCC3(=C2O))),3.3
ClC=1(SC=C(N=1)C(=O)O),3.3
[Br]C=1(SC(C(=O)O)=CC=1),3.3
O=C(O)CN1(C=CC=C1),3.3
O1(N=C2(CC[NH2+]CCC2(=C1O))),3.3
O=C(O)C2(C1(=NN=NN1C(C)CCC2)),3.3
O=C(O)C=1(C=2(C(C=C(C=1C)C)=CC=CC=2)),3.33
P(=O)(O)(CCC)CCC,3.33
ClC1(=C([N+](=O)[O-])C=C(C(=O)O)C=C1),3.33
O=C(O)C=CC(=O)C1(=CC=CC=C1),3.34
S=C(SCC(=O)O)N(C)C,3.34
O=C(O)C1(=C(O)C=CC=C1C),3.35
[Br]C1(=C(C(C(=O)O)=CC=C1)C),3.36
O=C(O)C(OC1(=C(C=CC=C1)C))C,3.37
O=C(O)C1(OC(OC(=O)C(CC)CC)C(O)C(C1O)O),3.37
O=C(O)C2(OC1(=C(C=CC=C1)CC2)),3.38
O=C(O)C=CC(=O)C1(=CC=C(CC)C=C1),3.38
O=C(O)C(C2(=CC=C(C1(=CC=CC=C1))C=C2))C(O)(C3(=CC=CC=C3))C,3.38
O=C(O)C1(C[NH2+]CC1),3.38
N1(=NNC(=N1)C3(=CC(C=2(N=NNN=2))=CC=C3)),3.38
O=C(O)C1(=CON=C1),3.39
O=C(O)CN2(C1(=C(C=CC=C1)C=C2)),3.4
O=C(O)C=CC(=O)C1(=CC=C(C(C)C)C=C1),3.4
SC1(=C([N+](=O)[O-])C=C([N+](=O)[O-])C=C1),3.4
S(C1(=CC([N+](=O)[O-])=CC=C1))CC(=O)O,3.4
S(C(C(=O)O)=C)C1(CCCCC1),3.4
S=C(S)N(CC(C)C)CC(C)C,3.4
O=C(O)C(C2(=CC=C(C1(=CC=CC=C1))C=C2))C(O)(CC)C,3.41
ClC=1(SC(C(=O)O)=CC=1),3.41
O=C(O)CC#CC=C,3.41
O=C(O)C=CC(=O)C1(=CC=C(C(C)(C)C)C=C1),3.42
O=C(O)C=1(OC(C)=CC=1),3.42
O=C(O)C(C(=O)N)(C(=C)C)C,3.42
O=C(O)C(OC1(=C(C=CC=C1)C))CC,3.43
[Se]1(C(C(=O)O)=CC=C1),3.43
O=[N+]([O-])C1(=CC=C(C(=O)O)C=C1),3.43
ClC1(=C(C(C(=O)O)=CC=C1)C),3.43
O=C(O)CC[N+]1(CCCCC1)(C),3.43
O=C(O)CC#CC1(=CC=CC=C1),3.44
O=C(O)C=CC(=O)C1(=CC=C(C)C=C1),3.44
O=C(O)C1(=C(C=C(C(C)(C)C)C=C1C)C),3.44
O=C(O)CC=1(N=NN(N=1)C),3.44
O=[N+]([O-])C1(=CC(NC(C#N)=C(C#N)C#N)=CC=C1),3.45
O=C(O)C(C2(=CC=C(C1(=CC=CC=C1))C=C2))C3(O)(CCC(C)CC3),3.45
O=[N+]([O-])C([N+](=O)[O-])CCC#N,3.45
[Se](C1(=C([N+](=O)[O-])C=CC=C1))CC(=O)O,3.45
O=C(O)C2(=C(C1(=CC=CC=C1))C=CC=C2),3.46
S1(C(C(=O)O)=CC=C1),3.46
S(C1(=C(C=CC=C1)C))CC(=O)O,3.46
O=C(O)C1(=C(OC)C=CC=C1C),3.46
P(=O)(O)(C1(CCCCC1))C2(CCCCC2),3.47
O=[N+]([O-])C1(=CC(C(=O)O)=CC=C1),3.47
O=C1(N(C(C(=O)O)C(C)C)CC1NC(=O)CC2(=CC=CC=C2)),3.48
[Br]C1(=C(O)C(=CC(=C1)[N+](=O)[O-])C=O),3.48
O=C(O)COOC(C)(C)C,3.49
O=C(O)CC1(=CC=C([NH3+])C=C1),3.49
S(C=CC1(=CC=CC=C1))CC(=O)O,3.5
ClC1(=CC([N+](=O)[O-])=C(O)C=C1),3.5
O=C(O)C=1(N(C=C(C=1)[NH3+])C),3.5
O=C(N)C1(=C(NN=C1CC(=O)O)N),3.5
