smiles,pKa
ClC1(C(=O)OCC1=O),2.13
O=C1(C(O)=C(C(=O)C2(=C1C=CC=C2))C(=O)C3(=CC=CC=C3)),2.17
O=C(O)C([NH2+]C)(C)C,2.2
[Si](C#CC(=O)O)(C)(C)C,2.21
S(=O)(O)CCCCC1(=CC=CC=C1),2.23
O=[N+]([O-])C1(=C(C(=O)O)C=CC=C1),2.23
O=[N+]([O-])C1(=C(C(O)=CC=C1)C(=O)O),2.24
O=C(O)C#CC1(=CC=CC=C1),2.26
SC1(=C[N+](=CC=C1)C),2.27
O=C(O)C([NH3+])CC,2.29
S(=O)(O)C(C)C,2.3
O=C(O)C(O)C(N)C(=O)N,2.31
O=C1(C(O)=C1C2(=CC=C(OC)C=C2)),2.33
O=C(O)C[NH2+]CC(C)C,2.35
O=C(O)C(C#N)C1(CCCCC1),2.37
O=C(O)C(=O)C,2.39
S1(C(C(C(=O)O)N2(C1C([NH+]=C2CC=CCC)C(=O)O))(C)C),2.4
O=C(NCC(=O)O)C([NH3+])CC=1([NH+]=CNC=1),2.4
FC(C1(=CC=CC=C1))C(=O)O,2.45
O=C(NOCCC([NH3+])C(=O)O)N,2.5
P1(=O)(O)(CCCC1),2.51
FC(C(=O)O)=C,2.55
O([N+]1(=CC=C(O)C=C1))CC2(=CC=CC=C2),2.58
O=C(NOCC(=O)O)N,2.6
O=C(O)C#CCCCC,2.61
O=C(O)C#CC,2.63
S1(C(C(C(=O)O)N2(C1C(NC(=O)CCCCCCC)C2=O))(C)C),2.66
O=C(O)C#CC=CC,2.67
O=C(O)C(=O)CC1(=CC=CC=C1),2.68
S1(=O)(=O)(NC(=O)NC(C1)=O),2.7
[Br]C1(=C(C(=CC=C1)C)C(=O)O),2.71
O=C(O)C(NC(=O)C([NH3+])C)CC=1([NH+]=CNC=1),2.73
SC1(=C(F)C(F)=CC(=C1F)F),2.75
S1(N=C(C(=O)O)C2(=C1C=CC=C2)),2.76
SC(=O)C1(=CC=C(OC)C=C1),2.79
O=C(O)C1(=[N+]([O-])C(C)(C)CC1),2.8
O=C(O)CC1(=NN=NN1C),2.83
[Br]CC(=O)O,2.84
ClCC(=O)O,2.85
O=C(O)C1(=[N+]([O-])C(C)(C)C(C1)C),2.85
O=[N+]([O-])N(C1(=NN=NN1))CC,2.86
O=[N+]([O-])N(C1(=NN=NN1))C,2.88
O=C(O)C2(=C(C1(=NN=NN1))C=CC=C2),2.9
O=C(O)C=1([NH+]=CN(C=1N)C2(OC(CO)C(C2O)O)),2.9
O=[N+]([O-])C1(=CC(=C(C(=O)O)C=C1)C),2.91
IC1(=C(C(=O)O)C=CC=C1),2.93
O=C(O)C1(=C[N+]([O-])=CC=C1),2.95
S=C(S)NCCCCCC[NH3+],2.95
[Br]C=1(SC(C(=O)O)=CN=1),2.96
ClC(C(=O)O)(C)C,2.97
ClC1(=C[N+](C(=O)C)=CC=C1),2.98
O=[N+]([O-])C1(=CC=C(C(O)C(=O)O)C=C1),2.99
O=C(O)C3(OC(OC2(=CC1(=[NH+]C=CC=C1C=C2)))C(O)C(C3O)O),3
O=C(O)C1(=NN=CC=C1),3
[Br]C1(=C(C(=O)O)C=C(C)C=C1),3
[Br]C2(=CC=C(OC1(OC(C(=O)O)C(O)C(C1O)O))C=C2),3.02
O=C(O)C1(N(C(=O)C([NH3+])C)CCC1),3.04
O=[N+]([O-])C1(=CC(=C(C(=O)O)C=C1)C(=O)C),3.06
O=C(O)C1(OC(OC(=O)C(CCCC)CC)C(O)C(C1O)O),3.08
SC1(=[NH+]C=CC(=N1)NC),3.09
O=C1(C(=C(C)C(C1)=C(C(=O)O)C)C),3.1
O=C(O)C3(OC(OC2(=CC=C(C1(=CC=CC=C1))C=C2))C(O)C(C3O)O),3.1
S(=O)(=O)(NC(=O)C)C1(=C(SC=C1)C(=O)O),3.1
S(=O)(=O)(NC(=O)C)C1(=C(C(=O)O)C=CC=C1),3.1
O=[N+]([O-])N(C1(=NC([N+](=O)[O-])=NN1))C,3.12
O=[N+]([O-])C1(=CC(=C(CO)C=C1)C(=O)O),3.14
O=[N+]([O-])C1(=C(C=CC=C1)C(O)C(=O)O),3.15
O=C(O)C2(N(C(=O)C1([NH2+]CCC1))CCC2),3.16
O=[N+]([O-])C1(=CC(=C(C)C=C1)C(=O)O),3.17
O=C(O)COC1(=CC(=CC=C1)C),3.18
O=C(O)C2(C1(=NN=NN1CCC(C2)C)),3.2
S(C1(=CC=C([N+](=O)[O-])C=C1))CC(=O)O,3.2
O=C(O)C1(N(C(=O)C)CCC1),3.21
S(C1(=C(C(=O)O)C=C([N+](=O)[O-])C=C1))C2(=CC=CC=C2),3.22
P(=O)(O)(CCCC)CCCC,3.22
O=C(O)C1(=C(C=CC=C1C)C),3.23
[Br]C1(=C([N+](=O)[O-])C=C(C(=O)O)C=C1),3.24
O=C(O)C1(OC=2(C=CC=CC=2(C1))),3.25
IC1(=C(C(C(=O)O)=CC=C1)C),3.26
IC2(=CC=C(OC1(OC(C(=O)O)C(O)C(C1O)O))C=C2),3.28
O=C2(OC(C1(=CC=CC=C1))=CC(=C2)C(=O)O),3.3
S(=O)(=O)(N)C1(=C(SC=C1)C(=O)O),3.3
O=C(O)CC#C,3.31
O=[N+]([O-])C2(=NN(C1(=CC=CC=C1))C(=N2)NN=O),3.33
O=C(O)COC1(=C(C=CC=C1C)C),3.36
FC1(=C([N+](=O)[O-])C=C(C(=O)O)C=C1),3.37
O=C(O)C(OC)=C,3.38
O=C1(NC(=O)C(C1=O)C2(=CC=CC=C2)),3.4
O=C(O)C2(C1(=NN=NN1CCCC2)),3.4
IC(C1(=CC=CC=C1))=CC(=O)O,3.4
S1(C(C(=O)O)=CC(=C1)OC),3.41
O=C(O)C1(=C(C(=CC(=C1C)C)C)C),3.43
O=[N+]([O-])C1(=CC(=C2(N=NN(C2(=C1))O))C),3.43
O=C(O)C(C1(=CC=CC=C1))CC#N,3.44
N1(=NNC(=N1)C3(=CC=C(C2(=NN=NN2))C=C3)),3.44
N#CC2(=CC(C1(=NN=NN1))=CC=C2),3.45
[Se](C1(=CC=C([N+](=O)[O-])C=C1))CC(=O)O,3.46
O=C(OC1(OC(C(=O)O)C(O)C(C1O)O))C2(=CC(OC)=C(OC)C=C2),3.47
S(C1(=NC(C(C)(C)C)=NN1C(=O)N(C)C))CC(=O)O,3.49
O=C2(OC3(C4(C1(C(C(=O)OC(C1)C(=O)O)CCC4(C2(O)CC3)(C))(C)))),3.5
O=C1(NC(C(=O)O)C(C1)C(=O)OCC),3.5
O=C(O)C1(=C(OCC)C=CC=C1C),3.51
S(C1(=CC(=CC=C1)C))CC(=O)O,3.52
O=C(O)C(C[NH3+])C,3.53
O=C(O)C(O)(C1(=CC=CC=C1))C,3.53
O2(C([N+]1(=C(O)N=C(N)C(=C1)CO))CC(C2CO)O),3.55
N#CC2(=C(C1(=NN=NN1))C=CC=C2),3.55
O=C(O)CC[NH2+]CCCCCCCCCC,3.57
O=C(O)CC[NH2+]CCCC,3.57
S2(C1(=C(C=CC(=C1)C(=O)O)C(=C2CN3(C=[NH+]C=C3))C)),3.59
O=C(O)C1(=CC=C(C[NH3+])C=C1),3.59
N#CC(C#N)C(C#N)C#N,3.6
O=C(O)CC(=O)N,3.61
S(=O)(=O)(N)C1(=CC(C(=O)O)=CC=C1),3.61
O=C(O)C2(OC1(=C(C=CC=C1)CCC2)),3.63
O=C(O)C2(=C(C(=O)C1(=CC=C(C)C=C1))C=CC=C2),3.64
O=C(O)C(C2(=CC=C(C1(=CC=CC=C1))C=C2))C3(O)(CCCC3),3.65
S1(C(C(=O)O)=CC(=C1)C),3.66
ClC2(=C(C1(=NN=NN1))C=CC=C2),3.69
O=C(O)C(C(C#N)C1(=CC=CC=C1))C,3.7
O=C(O)C=1(C=NN(C=1)CCCC[NH+]4(CCN(C2(=[NH+]C=3(C=CC=CC=3(N2CCOCC))))CCC4)),3.7
O=C(O)C1(=NC=CC=C1C=O),3.7
ClC1(=CC(=CC=C1)C=CC(=O)O),3.71
O=C(O)C1(=CC=C(C(=O)C)C=C1),3.72
O=C(O)C1(=C(C(=CC=C1)C)C),3.73
O=C(O)C1(=C(C(=O)N)C=CC=C1),3.75
S(C1(=CC=C(C(C)(C)C)C=C1))CC(=O)O,3.76
O=C(O)C(O)C,3.76
S(CC(=O)O)CCC,3.77
[Se](C1(=CC(=CC=C1)C))CC(=O)O,3.78
O=C(O)C1(=C(C=CC=C1)CC),3.79
S(=O)(=O)(NC(=O)OCC1(=CC=C([N+](=O)[O-])C=C1))C2(=CC=C(C)C=C2),3.8
O=C1(NC(C(=O)O)CC1O),3.8
S(CC(=O)O)CCCC,3.81
[Br]C2(=CC(C1(=NN=NN1))=CC=C2),3.82
IC1(=CC(C(=O)O)=CC=C1),3.83
O=C(O)C1(=C(C=CC=C1)CO),3.84
SC=1(OC=NN=1),3.85
O=C(O)C1(=C(C=CC(=C1)OCC)C),3.86
[Se](C1(=CC=C(C)C=C1))CC(=O)O,3.86
O=C(O)C1(C3(=C(OC2(=C1C=CC=C2))C=CC=C3)),3.89
S2(C1(=C(C=C(C(=O)O)C=C1)C=C2CN3(C=[NH+]C=C3))),3.9
ClC1(=CC=C(NS(=O)(=O)C(F)(F)F)C=C1),3.9
O=C(O)C3(=CC1(=C(OC(=C1C)CN2(C=[NH+]C=C2))C=C3)),3.91
O=C(O)C1(=C(C=CC=C1)C),3.92
O=C1(C4(=C(OC3(=C1C=C(OC2(OC(C(=O)O)C(O)C(C2O)O))C=C3))C=CC=C4O)),3.94
O=C(O)C2(=CC(OC1(=CC=CC=C1))=CC=C2),3.95
O=C(O)C=C=C,3.96
[Br]C2(=CC=1(N(O)N=NC=1C=C2)),3.97
O=C(O)CCC#N,3.98
O=C(O)CC(C#N)(C1(=CC=CC=C1))C,3.99
IC1(=CC=C(C(=O)O)C=C1),3.99
S(=O)(=O)(NC1(=NON=C1C))C2(=CC=C(N)C=C2),4
S(=O)(=O)(NC1(=CC=C(C(=O)O)C=C1))C2(=CC=C(N)C=C2),4.02
S1(C=C(C(=O)O)C=C1),4.03
O=C(O)C(O)(C)C,4.04
O=C(O)C1(=C(OC)C=CC=C1),4.05
O=C(O)C1(=CC(OC)=CC=C1),4.06
S1(C=C(CC(=O)O)C=C1),4.07
PC(C(=O)O)CC,4.08
O=C(O)C1(=CC=C(CC#N)C=C1),4.09
O=C(O)C2(=CC1(=C(NC=C1)C=C2)),4.1
SC2(=CC=1(C(=[N+](C=CC=1)C)C=C2)),4.12
ClCC1(=CC=C(C(=O)O)C=C1),4.13
O=C(O)CCC#CC#CCCCC[NH3+],4.15
ClC1(=C(NN=C(C#N)C#N)C=CC(=C1)[N+](=O)[O-]),4.15
O=C(O)C1(=C(CC1)CO),4.16
O=C(O)C1(=CC(OCC)=CC=C1),4.17
O=C(O)C1(O)(CCCCC1),4.18
O=C(O)C1(=C(OCC)C=CC=C1),4.18
O=C(O)C1(C(C(=O)C)C1),4.19
O=C(O)C2(=CC=1(C(=CC=CC=1)C=C2)),4.2
O=C(O)CCC#C,4.2
O=[N+]([O-])C1(=NNC(=N1)OC2(=CC=CC=C2)),4.2
O=C(O)C(C2(=CC=C(C1(CCCCC1))C=C2))C(O)C,4.21
O=C1(C(=C(O)C(CC=C(C)C)=C(C1(O)CC=C(C)C)O)C(=O)CC(C)C),4.22
O(C2(=CC=C(C1(=NN=NN1))C=C2))C,4.23
O=C(O)C1(=C(OC(C)C)C=CC=C1),4.24
O=C(O)C(C2(=CC=C(C1(=CC=CC=C1))C=C2))C(O)C3(=CC=C(C)C=C3),4.24
O=C(O)C1(=CC(OCCCC)=CC=C1),4.25
S1(C(=CC=C1)C=CC(=O)O),4.25
O=C(O)C1(=CC(=CC=C1)C(C)C),4.27
O=C(O)C1(=CC(=CC=C1)C2(CC2)),4.28
O=C(O)C1(=CC(=CC=C1)C),4.28
O=C(O)C=CC=1(OC=CC=1),4.29
S=C(S)N(C(C)C)C(C)C,4.3
O=C(O)C1(=C(CC1)COC),4.31
O[N+](C1(=CC=C(C)C=C1))(C)C,4.32
S1(CC(=O)CC(C1)=O),4.34
O=C(O)C=1(NC=CC=1),4.35
O=C1(NCC(=O)NC1CCC(=O)O),4.36
O=C(O)CC1(=CC=C(OC)C=C1),4.36
O=C(O)C=CC1(=CC(OC)=CC=C1),4.38
O=C(O)CC1(OCCCC1),4.39
O=C(O)C([NH2+]C1(=CC=CC=C1))C(C)C,4.4
S(=O)(=O)(NC1(=NOC(=N1)C))C2(=CC=C(N)C=C2),4.4
O=C(O)C=CC1(=CC(O)=CC=C1),4.4
O=C(O)C=CC1(=CC(=CC=C1)C),4.44
O=C(O)CCCCCC[NH3+],4.44
O=[N+]([O-])C2(=CC=C(C1(C(C(=O)O)C1))C=C2),4.45
S1(C=C(CCC(=O)O)C=C1),4.45
[Br]C1(=CC([N+](=O)[O-])=C(O)C(=C1)C=O),4.46
O=C(O)C1(=CC=C(OCC(C)C)C=C1),4.48
O=C(O)C=CC1(=C(C=CC=C1)C),4.5
O=C1(CC(=O)CC1),4.5
[70SH]C(C1(=CC=CC=C1))=CC(=O)NC2(=CC=CC=C2),4.51
O=C(O)CC=CCC,4.52
[Se](=O)(O)C2(=CC=C(C1(=CC=CC=C1))C=C2),4.53
O=C(O)C1(=C(C=C(OCC)C=C1)C),4.54
S1(C(=CC=C1)CCCC(=O)O),4.54
O=C(O)C1(=C(OC=C1C)C),4.55
O=C(O)C1(=CC=C(OC(C)C)C=C1),4.57
ClC1(=C(C=C2(N=NN(C2(=C1))O))C),4.57
O=C(O)C(C=C=CC)(C)C,4.58
O=C(N)C(CC(=O)O)C,4.59
O=C(OC)C1(N(C(=O)C)CC(C1CC(=O)O)C(=C)C),4.6
O=C(O)CC=C(C)C,4.6
O=C(C(C(=O)C)C=O)C,4.6
O=C(O)C1(=CC=C(OCCC)C=C1),4.63
O=C(O)CCCC(C#N)C1(=CC=CC=C1),4.64
O=C(O)CCC1(=CC(OC)=CC=C1),4.65
FC(F)(F)C(=O)CC(=O)C1(=NC(C)(C)N(C1(C)C)O),4.66
[Se](=O)(O)C2(=CC=1(C(=CC=CC=1)C=C2)),4.67
O=C(O)C2(=CC=C(N=NC=1(C(=NNC=1N)N))C=C2),4.68
O=C(O)C=CCC,4.69
O=C(O)C,4.7
ClC1(=C(NN=C(C#N)C#N)C(Cl)=CC=C1),4.7
O=C(O)CCC=CC,4.72
[SeH]CC[NH+](C)C,4.74
O=C(O)CCCCC(C#N)C1(=CC=CC=C1),4.75
O=C(O)CCCC1(=CC=CC=C1),4.78
O=C(N)C(C1(=CC=CC=C1))CCCCC(=O)O,4.79
[Se](=O)(O)C1(=CC=CC=C1),4.79
OC=1([NH+]=C(N)NC=1),4.8
O=C(O)CC1(CCCCC1),4.8
O=C(O)CCCC=2(C1(=C(C=CC=C1)NC=2)),4.82
O=C(O)CC,4.83
O=C(O)CC(CC)C,4.84
N1(=NNC=N1),4.84
N#CCCN(C1(=NN=NN1))CCC#N,4.85
O=C(O)CCC1(CCC(O)CC1),4.86
N2(=C1(N=NNC1=CN=C2)),4.88
O=C(O)CCCC(C)(C)C,4.88
S(=O)(=O)(NC(=O)N)CC(=O)NC,4.89
O=C1(NC(OC2(=C1C=CC=C2))CC(=O)O),4.9
[Br]C1(=C(O)C=CC(C=C1)=O),4.9
ClC1(=C(O)C(=C(Cl)C=C1Cl)C[NH+]2(CCOCC2)),4.915
O=C(O)CCCCCCCC=CCCCCCCCC,4.95
[Si](CCCCC(=O)O)(C)(C)C,4.96
S1(C(=NC=C1OC)N),4.98
O=C(O)CCC1(=NN=NN1C2(=CC=CC=C2)),5
[Br]C(C#N)C#N,5
O[N+]#C,5
OC1(=C[NH+]=CC=C1),5.01
O=C(O)CCCC=O,5.02
O=[N+]([O-])C1(=C(O)C=CC(=C1)[N+](C)(C)C),5.03
O=C(O)C(C)(C)C,5.04
ClC1(=C(Cl)C=C(Cl)C(=C1C[NH+]2(CCCCC2))O),5.06
O=[N+]([O-])C1(=C(O)C=CC(=C1)C(=O)C),5.09
O=C(N)C(=NO)C#N,5.12
O=C(C1(=C[N+](O)=C([O-])C=C1))C2(=CC=CC=C2),5.13
O=[N+]([O-])C(C(=O)C)C,5.15
S(=O)(=O)(C=1(NN=NC=1))CC2(=CC=CC=C2),5.15
O=[N+]([O-])CC(=O)C1(=CC=CC=C1),5.19
ClC1(=CC(=C(O)C(=C1)C[NH+](C)C)C[NH+](C)C),5.2
O=C1(CC(=O)CC(C1)(C)C),5.21
[Se](=O)(O)CCC,5.25
O=[N+]([O-])C([N+](=O)[O-])C,5.28
O=C(O)CC1(C(C=2(C=C(O)C=CC=2(C1)))C),5.3
ClC[Si](CC(C(=O)O)C)(C)C,5.32
O=[N+]([O-])C1(=NNC(=N1)OC),5.35
ON=NC1(=NN(C)C(=N1)N),5.36
OC1(=NC=[NH+]C(=C1)[O-]),5.4
O=C1(C(=NO)C(=O)CC(C1)(C)C),5.4
OC(=N[N+](C)(C)C)C,5.42
S(=O)(=O)(NC1(=NC(=CC=N1)C))C2(=CC=C(NC(=O)C)C=C2),5.46
ClC1(=C(Cl)C=CC(=C1)S),5.48
O=[N+]([O-])C1(=CC(=C(NN=C(C#N)C#N)C=C1)C),5.5
O(C(O)C=C)CC(O)C,5.5
N1(=NNC(=N1)C(C)C),5.55
O=[N+]([O-])C1(=CC(=C(O)C=C1)C[NH+]2(CCOCC2)),5.61
O=C1(C=CC(O)=CC=C1),5.64
O=C(O)C=1(C(=CNC=1)C),5.65
O=C(O)C3(C2(C(C1(=C(C=C(C(C)C)C=C1)CC2))(CCC3)C))(C),5.7
ClC1(=C(OC)C(=C(O)C(=C1)Cl)C(=O)NCC2([NH+](CCC2)CC)),5.75
O=[N+]([O-])C1(=CC(=C(O)C=C1)C[NH+](C)C),5.75
FC1(=CC(=C(O)C(=C1)C[NH+](C)C)C[NH+](C)C),5.77
ClC2(=NC=C(NS(=O)(=O)C1(=CC=C(N)C=C1))C=N2),5.8
O=C1(NOCC1NC(=O)C),5.8
OC=2(C=1(C(=CC=[N+](C=1)C)C=CC=2)),5.81
O=C1(NC(=O)C=2(C(=O)C=3(N=C(N(C=3(C(C=2(N1))=O))C)C))),5.82
O=C1(OCC(N1)=O),5.84
S(=O)(=O)([O-])C=2(C1(=C(NN=C1)C(=NO)C(C=2)=O)),5.85
O=[N+]([O-])C1(=CC=C(C[N+](=O)[O-])C=C1),5.89
OC=1(N(N=C(C=1CC)C2(=CC=CC=C2))C3(CC[NH+](C)CC3)),5.9
S(=O)(=O)(NC1(=NC=CC=N1))C2(=CC=CC=C2),5.91
[Br]C1(=C(O)C(=O)C=CC=C1),5.96
O=[N+]([O-])C1(=C(NN=C(C#N)C#N)C=CC(=C1)C),6
ClC4(=CC=3(N=C(C=1(C(=O)OC=2(C=C(O)C=CC=2(C=1C#N))))OC=3C=C4)),6
O=C1(N(O)C(=O)C2(C1CCCC2)),6
ClC1(=C(OC)C(=C(O)C(=C1)Cl)C(=O)NC2(CC[NH+](C)CC2)),6.02
OC=2(C=1(C(=[N+](C=CC=1)CCC)C=CC=2)),6.06
FC(F)(F)C(=O)CC(=O)C,6.09
OC1(=C(NN=C(C#N)C#N)C=CC=C1),6.1
N1(=NNC(=N1)NCC),6.12
SC=1(C=NC2(=CC=CC=C2(C=1))),6.13
ClC1(=CC=C(NN=C(C#N)C#N)C=C1),6.15
O=C1(C(C(=O)C(CC=C(C)C)C(C1C(=O)CC(C)C)=O)(CC=C(C)C)CC=C(C)C),6.18
S1(=O)(=O)(NC=3(C=CC=C2(C=3(C1=CC=C2)))),6.2
S(=O)(=O)(N(C)C)C2(=CC=C(NS(=O)(=O)C1(=CC=C(N)C=C1))C=C2),6.23
[Br]C1(=C(O)C(=O)C=C(C=C1)C(C)C),6.28
OC1(=C(C=C(C(C)(C)C)C=C1C[NH+](C)C)C[NH+](C)C),6.3
N1(=NNC(=N1)NC2(=CC=CC=C2)),6.3
S1(C(C(=O)CC(=O)C(F)(F)F)=CC=C1),6.31
S=C1(OC=2(C=CC=CC=2(N1))),6.33
O=C1(C(C=O)CCCC1),6.35
[Br]C1(=CC([N+](=O)[O-])=C(O)C=C1),6.36
S1(C(=NC2(=C1C=CC=C2))C=3(C(=O)OC=4(C=C(O)C=CC=4(C=3C#N)))),6.38
SC1(=CC(OC)=CC=C1),6.39
S(SCC(N)C(=O)N)CC(N)C(=O)N,6.41
S1(C(=O)NC(C1(CC)CC)=O),6.42
O=C(O)C(NCCC#N)CC(=O)N,6.46
O=[N+]([O-])NCCCC,6.48
O=C2(C1(=C(C=CC=C1)C(C2CC)=O)),6.5
S(=O)(=O)(NC=1(OC=CN=1))C2(=CC=C(N)C=C2),6.5
[Br]C1(=C(C=C(O)C(C=C1)=O)C(C)C),6.53
O=C3(N2(N(C1(=C(C=CC(=C1)C)N=C2N(C)C))C(=C3CCC)O)),6.55
N#CC(=NNC1(=C(C=CC=C1C)C))C#N,6.6
[Br]C1(C(=O)NC(=O)NC1=O)(CCC),6.6
S(=O)(=O)(NC1(=CN=CN=C1))C2(=CC=C(N)C=C2),6.62
OC3(=CC2(=[NH+]C=1(C(=CC=CC=1)C(=C2C=C3)N))),6.63
SC1(C(=O)NC(C1)=O),6.65
[Br]C1(=C(O)C(=O)C=CC=C1C(C)C),6.68
OC=1(N(N=C(C=1CCCCCCCCCC)C2(=CC=CC=C2))C3(=CC=CC=C3)),6.7
O=[N+]([O-])C1(=C(O)C=CC(=C1)C2(=CC=CC=C2)),6.73
N#CC(=NNC1(=C(C=CC(=C1)C)C))C#N,6.75
ONC=1(C=2(C(N=CC=1)=CC=CC=2)),6.76
S(=O)(=O)(NC1(=CC=C(C#N)C=C1))C2(=CC=CC=C2),6.78
O=C(OC)C1(=C(C(O)=C(O)C(=C1)O)C[NH+](C)C),6.8
S(=O)(=O)(OC4(=C3(OC(C=1(C(=O)OC=2(C=C(O)C=CC=2(C=1))))=NC3=CC(=C4)C)))[O-],6.8
O=[N+]([O-])C1(=CC(OC)=C(O)C=C1),6.83
N#CC1(=NC=NC2(=C1NC=N2)),6.88
ClCC(=O)NC=2(SC(C1(=CC=CC=C1))=NN=2),6.9
S(=O)(=O)(NC1(=CC([N+](=O)[O-])=CC=C1))C2(=CC=CC=C2),6.91
O=[N+]([O-])C1(=CC(=C(O)C(=C1)C(C)(C)C)C(C)(C)C),6.92
O=C([O-])C1(=C(C(O)=C(O)C(=C1C[NH+](C)C)O)C[NH+](C)C),6.95
FC(F)(F)C1(=CC(=CC=C1)C([N+](=O)[O-])C),6.96
S(=O)(=O)(NC2(=NN(C1(=C([N+](=O)[O-])C=CC=C1))C=C2))C3(=CC=C(N)C=C3),7
OC=2(C(C1(=[NH+]CCN1))=CC3(=CC=CC=C3(C=2))),7.01
S1(C(=NC2(=C1C=CC=C2))C=3(C(=O)OC=4(C=C(O)C=CC=4(C=3)))),7.02
OC=3(C2(=[NH+]C=1(C(=CC=CC=1)C(=C2C=CC=3)N))),7.05
FC1(=CC(=CC=C1)C([N+](=O)[O-])C),7.05
OC2(=CC=1(C(=[N+](C=CC=1)CCC)C=C2)),7.08
S(=O)(=O)(NC=1(SC=C(N=1)C))C2(=CC=C(N)C=C2),7.12
O=[N+]([O-])C1(=CC=C(O)C=C1),7.13
O=[N+]([O-])C1(=CC=C(B(O)O)C=C1),7.15
[Se-]C1(=[NH+]C(O)=CC=N1),7.18
OC=1(N(N=C(C=1CCCC)C2(=CC=CC=C2))C3(=CC=CC=C3)),7.2
O=[N+]([O-])C1(=CC(=C(O)C(=C1)C)C),7.22
O=C1(C(O)=CC(OC)=CC=C1),7.24
S(=O)(=O)([O-])C=1(NC(=O)NC(C=1)=O),7.26
S(=O)(=O)(NC=1(SC=CN=1))C2(=C(C=C(N)C=C2)C),7.3
O=[N+]([O-])C1(=CC(=CC=C1)B(O)O),7.3
O=CC1(=C(C=CC=C1)B(O)O),7.31
O=C2(N(C=1(NN=C(C(=O)OCC)C(C=1C(N2C)=O)=O))C),7.32
N#CC(=NNC2(=CC=C(N=NC1(=CC=CC=C1))C=C2))C#N,7.33
FC(F)(F)C1(=NC=NC2(=C1NC=N2)),7.35
O=C1(C3(=C(OC(=C1)C2(=CC=CC=C2))C=C(O)C=C3)),7.39
[N+]2(=C1(NC=3(C=CC=CC=3(C1=CC=C2))))(C),7.4
OC=1(N(N=C(C=1CCCCCC)C2(=CC=CC=C2))C3(=CC=CC=C3)),7.4
ClC1(=CC(=C(O)C=C1)C=O),7.4
S(=O)(=O)(NC1(=NC(=CC(=N1)C)C))C2(=CC=C(N)C=C2),7.44
S=C(OCC)NC(=O)C1(=CC=CC=C1),7.46
S=C1(N(C=2(N=CN=CC=2(N1)))C),7.48
S(=O)(=O)(NC1(=NC=C(O)C=C1))C2(=CC=C(N)C=C2),7.5
O=C(C1(=CC=C(O)C=C1))C([NH+](CC2(=CC=CC=C2))C)C,7.5
O=C(OC)C=C(O)C1(=CC=NC=C1),7.51
[Br]C3(=CC=2(C1(=C(C=CC=C1)C(C=2C=C3)[P+](C4(=CC=CC=C4))(C5(=CC=CC=C5))C6(=CC=CC=C6)))),7.53
S=C(NC1(=CC(=CC=C1)C))CC(=O)C,7.56
